fitness1,distance1,collision1,diversity1,age1,fitness2,distance2,collision2,diversity2,age2
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.953,16.9529,2,0.283051,32,0,0,0,0,0
216.971,16.9715,2,0.359483,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.907,16.907,2,0.338342,32,0,0,0,0,0
216.953,16.9532,2,0.369382,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.907,16.907,2,0.338342,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.915,16.9146,2,0.251231,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.962,16.9622,2,0.279501,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.953,16.9532,2,0.369382,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.964,16.9644,2,0.209968,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.962,16.9622,2,0.279501,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.915,16.9146,2,0.251231,32,0,0,0,0,0
216.962,16.9622,2,0.279501,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.959,16.9586,2,0.188676,32,0,0,0,0,0
216.907,16.907,2,0.338342,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.995,16.995,2,0.139177,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.969,16.9694,2,0.20559,32,0,0,0,0,0
216.915,16.9146,2,0.251231,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.953,16.9529,2,0.283051,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.962,16.9622,2,0.279501,32,0,0,0,0,0
216.962,16.9622,2,0.279501,32,0,0,0,0,0
216.962,16.9622,2,0.279501,32,0,0,0,0,0
216.953,16.9532,2,0.369382,32,0,0,0,0,0
216.957,16.9566,2,0.284125,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.971,16.9715,2,0.359483,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.959,16.9586,2,0.188676,32,0,0,0,0,0
216.969,16.9694,2,0.20559,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.915,16.9146,2,0.251231,32,0,0,0,0,0
216.953,16.9532,2,0.369382,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.915,16.9146,2,0.251231,32,0,0,0,0,0
216.962,16.9622,2,0.279501,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.988,16.9875,2,0.246991,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
216.904,16.9039,2,0.331794,32,0,0,0,0,0
216.962,16.9622,2,0.279501,32,0,0,0,0,0
216.945,16.9453,2,0.236717,32,0,0,0,0,0
