robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.790212,0.13893
-1.1412,-1.54108,0.179873,1.08733
-1.33966,-1.36688,-0.363578,1.34846
-1.66359,-1.04343,0.110943,0.488983
-2.14114,-0.565118,0.50723,-0.166608
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.790212,0.13893
-1.1412,-1.54108,0.179873,1.08733
-1.33966,-1.36688,-0.363578,1.34846
-1.66359,-1.04343,0.110943,0.488983
-2.14114,-0.565118,0.50723,-0.166608
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.790212,0.13893
-1.1412,-1.54108,0.179873,1.08733
-1.33966,-1.36688,-0.363578,1.34846
-1.66359,-1.04343,0.110943,0.488983
-2.13309,-0.524795,0.50723,-0.166608
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.96292,-0.317229
-1.1412,-1.54108,0.526711,0.417374
-1.33966,-1.36688,-0.346169,1.57963
-1.66359,-1.04343,-0.130021,0.888241
-2.13309,-0.524795,0.588255,-0.284177
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.96292,-0.317229
-1.1412,-1.54108,0.526711,0.417374
-1.33966,-1.36688,-0.346169,1.57963
-1.66359,-1.04343,-0.130021,0.888241
-2.13309,-0.524795,0.588255,-0.284177
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.96292,-0.317229
-1.1412,-1.54108,0.526711,0.417374
-1.33966,-1.36688,-0.346169,1.57963
-1.66359,-1.04343,-0.130021,0.888241
-2.13309,-0.524795,0.588255,-0.284177
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.58473,-1.06343,0.354534,0.718575
-1.26572,-1.33894,-0.156403,1.30681
-1.33147,-1.36027,-0.34227,1.33544
-2.47424,0.00412851,0.398451,-0.209971
-2.70033,0.403864,0.459147,-0.195854
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.42546,-1.46341,0.354534,0.718575
-1.08695,-1.66834,-0.156403,1.30681
-1.03239,-1.74634,-0.34227,1.33544
-1.45409,-1.25193,0.398451,-0.209971
-2.33754,-0.109364,0.459147,-0.195854
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.42546,-1.46341,0.473573,0.552665
-1.08695,-1.66834,-0.246981,1.32996
-1.03239,-1.74634,-0.171544,0.971684
-1.45409,-1.25193,0.0406651,0.348009
-2.33754,-0.109364,0.462068,-0.289109
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.42546,-1.46341,0.473573,0.552665
-1.08695,-1.66834,-0.246981,1.32996
-1.03239,-1.74634,-0.171544,0.971684
-1.45409,-1.25193,0.0406651,0.348009
-2.33754,-0.109364,0.462068,-0.289109
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.354,-1.13323,0.473573,0.552665
-1.17272,-1.33677,-0.246981,1.32996
-1.50231,-1.14903,-0.171544,0.971684
-1.97976,-0.695659,0.0406651,0.348009
-2.64147,0.165751,0.462068,-0.289109
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.354,-1.13323,0.354534,0.718575
-1.17272,-1.33677,-0.156403,1.30681
-1.50231,-1.14903,-0.368147,1.44095
-1.97976,-0.695659,0.398451,-0.209971
-2.64147,0.165751,0.459147,-0.195854
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.59849,-1.04947,0.810546,0.121249
-1.07441,-1.72862,0.354534,0.718575
-1.1871,-1.56578,-0.34197,1.63203
-1.92747,-0.627712,-0.363578,1.34846
-2.72197,0.374224,0.50723,-0.166608
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.59849,-1.04947,0.963359,-0.219155
-1.07441,-1.72862,0.302745,0.850566
-1.1871,-1.56578,-0.456659,1.67399
-1.92747,-0.627712,-0.420972,1.43782
-2.72197,0.374224,0.215999,0.383375
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.59849,-1.04947,0.619475,0.150601
-1.07441,-1.72862,-0.0468075,1.24555
-1.1871,-1.56578,-0.388611,1.49614
-1.92747,-0.627712,0.0470124,0.558654
-2.72197,0.374224,0.516541,-0.0546768
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.59849,-1.04947,0.619475,0.150601
-1.07441,-1.72862,-0.0468075,1.24555
-1.1871,-1.56578,-0.388611,1.49614
-1.92747,-0.627712,0.0470124,0.558654
-2.72197,0.374224,0.516541,-0.0546768
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.59849,-1.04947,0.619475,0.150601
-1.07441,-1.72862,-0.0468075,1.24555
-1.2552,-1.44228,-0.388611,1.49614
-1.92747,-0.627712,0.0470124,0.558654
-2.77382,0.428903,0.516541,-0.0546768
