generation,LAYER1-0,LAYER1-1,LAYER1-2,LAYER1-3,LAYER1-4,LAYER2-0,LAYER2-1,LAYER2-2,LAYER2-3,LAYER2-4,
0,43.9928,,,,,54.9628,,,,,
1,43.9928,,,,,33.9928,,,,,
2,32.0283,,,,,33.9928,,,,,
3,32.0283,,,,,31.2722,,,,,
4,31.2722,,,,,31.2722,,,,,
5,31.2722,,,,,26.6947,26.6947,,,,
6,27.342,26.2654,,,,26.6947,26.6947,,,,
7,27.342,26.2654,,,,26.2654,26.2654,,,,
8,22.5506,22.3138,,,,26.2654,26.2654,,,,
9,22.5506,22.3138,,,,25.3791,22.3138,,,,
10,21.2871,22.3138,,,,25.3791,22.3138,,,,
11,21.2871,22.3138,,,,31.9672,21.2871,21.2871,,,
12,21.6215,21.2022,20.6579,,,31.9672,21.2871,21.2871,,,
13,21.6215,21.2022,20.6579,,,21.2894,20.8314,20.6579,,,
14,21.6215,20.4724,20.4724,,,21.2894,20.8314,20.6579,,,
15,21.6215,20.4724,20.4724,,,24.2,20.1779,17.8287,,,
16,22.813,16.9006,19.9279,,,24.2,20.1779,17.8287,,,
17,22.813,16.9006,19.9279,,,24.9994,17.7919,16.9006,,,
18,25.924,33.6005,15.9653,,,24.9994,17.7919,16.9006,,,
19,25.924,33.6005,15.9653,,,24.9994,15.9653,15.9653,,,
20,25.924,33.3322,15.9653,,,24.9994,15.9653,15.9653,,,
21,25.924,33.3322,15.9653,,,24.9569,15.9653,15.9653,,,
22,23.1003,31.9414,15.9653,,,24.9569,15.9653,15.9653,,,
23,23.1003,31.9414,15.9653,,,28.3944,23.1003,15.9653,15.9653,,
24,28.3944,21.9292,15.9653,16.0787,,28.3944,23.1003,15.9653,15.9653,,
25,28.3944,21.9292,15.9653,16.0787,,21.9292,21.9292,15.9653,15.9653,,
26,28.8388,21.9292,15.9653,15.7499,,21.9292,21.9292,15.9653,15.9653,,
27,28.8388,21.9292,15.9653,15.7499,,15.9653,21.9292,15.7499,15.7499,,
28,27.7071,21.1144,15.7596,15.7499,,15.9653,21.9292,15.7499,15.7499,,
29,27.7071,21.1144,15.7596,15.7499,,27.7071,15.7596,15.7499,15.7499,,
30,27.7676,27.5897,20.9669,15.3282,,27.7071,15.7596,15.7499,15.7499,,
31,27.7676,27.5897,20.9669,15.3282,,20.9669,15.3282,15.3282,15.3282,,
32,27.127,26.9129,20.7594,15.3282,,20.9669,15.3282,15.3282,15.3282,,
33,27.127,26.9129,20.7594,15.3282,,20.7594,15.3282,15.3282,15.3282,,
34,26.924,26.2905,20.7594,15.3282,,20.7594,15.3282,15.3282,15.3282,,
35,26.924,26.2905,20.7594,15.3282,,20.7594,20.7594,15.3282,15.3282,,
36,31.733,23.7424,25.1618,15.3282,,20.7594,20.7594,15.3282,15.3282,,
37,31.733,23.7424,25.1618,15.3282,,23.7424,23.7424,15.3282,15.3282,,
38,31.5347,23.6998,24.2376,15.2962,,23.7424,23.7424,15.3282,15.3282,,
39,31.5347,23.6998,24.2376,15.2962,,23.6998,23.6998,23.6998,15.2962,,
40,30.8966,22.8197,23.3789,15.2962,,23.6998,23.6998,23.6998,15.2962,,
41,30.8966,22.8197,23.3789,15.2962,,22.8197,22.8197,22.8197,15.2962,,
42,28.2855,29.2687,22.8197,15.2962,,22.8197,22.8197,22.8197,15.2962,,
43,28.2855,29.2687,22.8197,15.2962,,22.8197,22.8197,22.8197,14.9461,,
44,27.8118,28.0859,22.5074,14.9461,,22.8197,22.8197,22.8197,14.9461,,
45,27.8118,28.0859,22.5074,14.9461,,22.5074,22.5074,22.5074,14.8338,,
46,27.3159,27.8102,22.4662,14.4383,,22.5074,22.5074,22.5074,14.8338,,
47,27.3159,27.8102,22.4662,14.4383,,22.4662,22.4662,19.9291,22.4662,14.4383,
48,27.2351,27.0425,26.5204,22.1272,14.0484,22.4662,22.4662,19.9291,22.4662,14.4383,
49,27.2351,27.0425,26.5204,22.1272,14.0484,20.6943,22.1272,19.9291,22.1272,14.0484,
50,27.2351,25.8859,24.6991,21.9198,14.0484,20.6943,22.1272,19.9291,22.1272,14.0484,
