robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.44276,0.248685,-2.60507,-0.610885
-0.790803,-2.41157,1.47624,2.27752
5,5,-5,-5
4.03263,0.0944727,-2.03135,-0.976677
-0.144136,-2.65409,1.98913,1.99582
5,5,-5,-5
4.66405,0.0112989,-1.49731,-1.43192
0.548461,-2.82805,2.45208,1.6344
5,5,-5,-5
5.30772,0.00947785,-1.02901,-1.9617
1.25593,-2.92021,2.84489,1.19945
5,5,-5,-5
5.93291,0.0878029,-0.645377,-2.54292
1.94556,-2.92899,3.1553,0.705904
5,5,-5,-5
6.51088,0.23374,-0.356059,-3.14694
2.58637,-2.86436,3.38099,0.174866
5,5,-5,-5
7.01768,0.425179,-0.160642,-3.74278
3.15196,-2.74598,3.53023,-0.369728
5,5,-5,-5
7.43567,0.633364,-0.0492288,-4.3001
3.62213,-2.60035,3.62088,-0.904466
5,5,-5,-5
7.75338,0.826406,-0.00434283,-4.79165
3.98269,-2.45718,3.67801,-1.4093
5,5,-5,-5
7.96348,0.972866,-0.00378233,-5.19445
4.22362,-2.34579,3.73038,-1.86939
5,5,-5,-5
8.07085,1.05413,-0.0249604,-5.49898
4.34681,-2.28226,3.81002,-2.29072
5,5,-5,-5
8.0954,1.07336,-0.0518167,-5.71797
4.37279,-2.26464,3.9269,-2.68979
5,5,-5,-5
8.05033,1.03825,-0.0754668,-5.86543
4.31772,-2.28856,4.07145,-3.07204
5,5,-5,-5
7.94609,0.960133,-0.0921139,-5.95533
4.19512,-2.34595,4.2298,-3.44115
5,5,-5,-5
7.79198,0.852128,-0.101285,-6.0013
4.01734,-2.42691,4.38703,-3.79789
5,5,-5,-5
7.59747,0.727627,-0.104452,-6.01667
3.79689,-2.52132,4.52995,-4.13989
5,5,-5,-5
7.37317,0.599081,-0.104022,-6.01459
3.54734,-2.62009,4.6489,-4.46226
5,5,-5,-5
7.13131,0.477,-0.102695,-6.00817
