robo1_q0,robo1_q1,robo2_q0,robo2_q1
-0.185757,1.07699,1.2,-0.6
2.63341,2.20763,-0.116442,1.30103
2.8584,2.31483,-1.43288,3.20207
3.01423,2.3176,-2.62974,4.61919
3.01423,2.3176,-3.62728,5.22979
3.57901,1.33931,-4.50523,5.35649
3.5,0.5,-5.38319,5.48319
-0.185757,1.07699,1.2,-0.6
2.63341,2.20763,2.33925,-2.4182
2.86204,2.32564,3.47851,-4.23641
3.01423,2.3176,3.96907,-5.08105
3.07342,2.28304,3.37851,-4.30308
3.57901,1.33931,2.13925,-2.55154
3.5,0.5,0.9,-0.8
-0.185757,1.07699,1.2,-0.6
2.63341,2.20763,1.20427,-1.86034
2.86204,2.32564,1.20854,-3.12067
3.01423,2.3176,1.18321,-3.71174
3.07342,2.28304,1.10854,-3.18734
3.57901,1.33931,1.00427,-1.99367
3.5,0.5,0.9,-0.8
-0.185757,1.07699,1.2,-0.6
2.63341,2.20763,3.03901,0.81346
2.86204,2.32564,4.87803,2.22692
3.01423,2.3176,5.68667,3.42242
3.01423,2.3176,4.77803,4.25465
3.57901,1.33931,2.83901,4.86892
3.5,0.5,0.9,5.48319
-0.185757,1.07699,1.2,-0.6
2.63964,2.21052,2.11243,0.0142172
2.86204,2.32564,3.02485,0.628434
3.01423,2.3176,3.41232,0.889442
3.08566,2.27233,2.92485,0.561768
3.57901,1.33931,1.91243,-0.119116
3.5,0.5,0.9,-0.8
-0.185757,1.07699,1.2,-0.6
2.63341,2.20763,-0.0628451,0.796633
2.86204,2.32564,-1.32569,2.19327
3.01423,2.3176,-2.49818,3.38112
3.07342,2.28304,-3.52009,4.221
3.57901,1.33931,-4.45164,4.85209
3.5,0.5,-5.38319,5.48319
-0.185757,1.07699,1.2,-0.6
2.63341,2.20763,3.06422,-2.38574
2.86204,2.32564,4.92844,-4.17149
3.01423,2.3176,5.74854,-5.00137
3.01423,2.3176,4.82844,-4.23815
3.57901,1.33931,2.86422,-2.51908
3.5,0.5,0.9,-0.8
-0.185757,1.07699,1.2,-0.6
2.63341,2.20763,0.574839,-0.291943
2.86204,2.32564,-0.0503229,0.0161141
3.01423,2.3176,-0.36176,0.137958
3.08781,2.23279,-0.150323,-0.0505525
3.57901,1.33931,0.374839,-0.425276
3.5,0.5,0.9,-0.8
-0.185757,1.07699,1.2,-0.6
2.63341,2.20763,-0.61163,-0.108917
2.86204,2.32564,-2.42326,0.382165
2.94584,2.33379,-3.8452,0.587203
2.99065,2.30372,-4.61766,0.315499
3.57901,1.33931,-5.00042,-0.242251
